z,x,beta,w_AA,w_BB,w_AB,U_hat,m_AB_hat
2,0.0806451612903225,210788.03315707456,-0.2107565357243115,-0.1244336020903473,-0.6836619461288118,-0.2870316019185857,0.161290322580645
4,0.4118967452300786,512.0041179984202,0.9037011544543294,0.5846156149925448,-0.3686951775404632,0.1282214828710929,1.2726923683002205
6,0.1571338752004665,0.0725622695705144,-0.9362564249271728,-0.5009020863252307,0.7020174545807494,-1.4749151320621696,0.7944741753100032
2,0.175438596491228,10.814350315843177,0.2435342905905961,0.7548776065158267,0.4907583843330134,0.3306437668455858,0.3077665168720632
4,0.4008264462809917,1612313.6201729884,-0.2016016269004981,0.0963512114490074,0.7167880530153379,0.2955033715809848,0.5976656422962179
4,0.2541322314049586,5072953.429540001,-0.325778840264989,0.6504393582204926,0.3286697751422063,-0.0840023683011903,0.4291120693156874
6,0.4631884387801547,0.0299159606070518,-0.2817335967787675,-0.0274455912099083,0.1131933337098916,-0.0907452610048345,1.49787643249094
4,0.2138775510204081,11482.400870963478,-0.7509227295104128,-0.9410338739859094,0.6330081194736954,-0.9834117655464928,0.4055173846579748
2,0.1326530612244898,47099.10960475807,0.0349418693178118,-0.0142528214531627,0.6738049688155174,0.116693050079245,0.1330554184036351
6,0.247953125,351.7156098059815,-0.5926338383566803,0.827240629341889,0.01336367581745,-0.8401568778895837,1.1395287317536464
6,0.0164897959183673,1478.01146019494,0.9441793469091468,-0.6212616010759218,-0.9516172866455912,2.6459029533579828,0.0981008183203011
4,0.0738775510204081,512224.7880312755,0.6099826008927125,-0.9457261304099652,-0.0475847089609817,1.0183299224258109,0.2346771462034115
2,0.4857142857142857,9670201.061517686,0.1159459101924542,0.1804446917091928,0.2714081009995568,0.1862063099732333,0.3159770752027065
2,0.073170731707317,0.0857294234911535,-0.9445670889948548,0.8162975301953215,0.448144322454439,-0.7426866087035613,0.1425721396856988
2,0.1647058823529411,1216.135317653943,-0.4752705941837247,0.0100479463715521,-0.7315631001248863,-0.5479117158151448,0.3057929590552474
4,0.2471382998686432,29026.55914715118,0.2237194158996127,-0.6942990032649223,0.8277423162422066,0.4918696757374036,0.4686461133278813
2,0.1282051282051282,10.95277232336717,-0.2264331807852886,-0.8935896312791718,-0.3338133886050072,-0.2703786580611289,0.1838539588702921
4,0.15984375,1.50369391345543,-0.3950923339414887,-0.5920445531874219,-0.5604253382817139,-0.8893957022483563,0.5421710345430925
6,0.4174283852881369,468.3486056597132,-0.3673370464691226,-0.0493374727416169,-0.4969623511341787,-1.2068503860560351,1.7429717899236064
4,0.3475546305931321,812863.2417907988,-0.4338711127514543,-0.6596285923566085,0.8850354487462213,-0.2360168440393016,0.5508168687044195
4,0.4577777777777778,13785.28366107436,0.1769894465074266,0.8630976432375028,0.1986909667454952,0.5340756391208152,1.3943358654039648
2,0.1318681318681318,9957338.089905798,0.7887582089516563,-0.8609807285406328,0.3737740411112848,0.6264683256841452,0.1348135889908793
2,0.3095238095238095,283.8074953017554,0.825720448652683,-0.661978040093266,-0.1589081195123929,0.2448767562149275,0.4999000199960013
4,0.1890359168241966,5587.065935378021,-0.6225135993095579,0.2664273717569834,0.1432707958575603,-0.7926205069994677,0.3620233833508585
2,0.1052631578947368,28.96500347547161,0.0247000806743482,-0.0561802956180268,0.8204240134270739,0.1482269392483186,0.1579122795322418
4,0.1233851066918275,15.302806854205713,-0.4715505987891024,0.0111662981782119,-0.1494507000080671,-0.7914890671954599,0.4024200530774975
4,0.380787037037037,0.0261671792994244,0.8328506821090618,0.3320740065357344,0.9377627244362874,1.6163624052905403,0.934531997921402
4,0.4571173980842058,0.1844928572442031,-0.4921950835515587,-0.2232269316059787,-0.3448704306650088,-0.7256605297095848,0.9991446575911036
4,0.2325141776937618,3608356.294819727,-0.5540918414023659,0.6743607149178701,0.9037197212220958,-0.203421600880311,0.3953326547166889
6,0.0626245072098929,3460320.184521572,-0.2734794172423975,0.913906245513509,0.2984424738232452,-0.6050666233098295,0.3539901109747344
4,0.286734693877551,8457692.292508382,-0.8321158147801277,0.6825112795160622,-0.6938280435931652,-1.39399861288726,0.9666144432213428
2,0.3414634146341463,60645.029469622765,0.2799178992169491,0.9202521218063172,-0.8483170064663241,-0.2432123016564791,0.5121374468765215
4,0.0839100346020761,0.0581149745692593,-0.2583833238075648,0.374789299104288,0.0662515896049453,-0.4080087547076342,0.3104662804463322
6,0.12562258669048,3318951.745076982,-0.9753478094863636,-0.5272696601159454,0.0222319971137505,-2.2486173921175387,0.6574441485355568
4,0.368672520661157,213.0113035463319,-0.658852219960113,-0.5644198557953222,0.4616189112074247,-0.6037262735482841,0.6003689351387967
6,0.0469302210898331,48330.07912129531,0.4565637433932332,0.9248482272980134,0.916604907353195,1.491703689934716,0.2482631442808195
4,0.4036734693877551,0.2820356349354054,-0.3129776566513591,0.0685002319346654,0.3249676810314026,0.1075830538344241,0.9515815691968248
4,0.2081999695168419,136649.1303026363,0.8474993817651,0.0240060119555303,-0.4943542194330916,0.6666026943159769,0.7370050348218603
6,0.183998041180758,37033.89904396728,0.9999444311883616,0.9160878163462634,0.4106733681981629,2.458109626329548,0.9051646405868232
6,0.364776206444088,0.0277341166542818,-0.6206737574646282,-0.6260432952457959,0.1080299742840404,-0.8539566524552561,1.3863229431675992
6,0.2819799081128459,177970.97099321117,-0.3634510238476673,-0.4074469901932047,-0.224104292446962,-0.933352946588864,1.203746035994538
4,0.4443359375,0.6705504238906345,-0.6525616254909365,-0.5064985484673425,0.084093823682867,-0.5551146718207115,0.9345751722773824
6,0.3151333197638917,5109.157192489156,-0.8626752868856955,0.7429630469579493,-0.8003445101250974,-2.200073345703069,1.5260440481084137
4,0.1359044995408631,156402.8925347246,0.4558038531133859,0.7745853119382451,-0.3200489158230339,0.5280645545751405,0.5027469549168101
2,0.1341463414634146,873.918033759079,-0.3409887853984132,-0.6998653295580937,0.0298542201221352,-0.3212658312926767,0.1233277094901897
2,0.4827586206896552,17.05404203566172,0.6180033845789152,0.2376404313503286,0.1122556714301417,0.221476784797779,0.6746701024074769
4,0.1507936507936507,113010.13655677962,0.1277213044203977,0.4718684349036228,0.2670054628898894,0.3411148946365525,0.5525601228960506
6,0.4980864951164538,0.0317082699823682,0.4128874964790323,0.6442867269582053,-0.9793442820640176,-0.6825965324753908,1.5034036205531247
2,0.2816901408450704,19603.15038067757,-0.3022778447928234,0.4218281793759952,-0.5980296620314838,-0.4224205219000225,0.4927239670399156
4,0.358264081255771,15404.605584187751,-0.4273111002716683,0.774507833232343,0.0475572690052734,-0.1403483596702142,1.1652014633651022
6,0.1775744271224643,13229.294732604136,6.298435516605139e-05,0.2053212374686499,-0.131012882567838,-0.0957477870397587,0.8783834148130928
2,0.0416666666666666,3654.354950540581,-0.4987827811351621,-0.2041467930193679,0.8141690967432027,-0.3893701246452985,0.0833333333333332
6,0.1874278529701029,4707.113948257186,0.7158818330583439,0.7406256834301854,-0.372246101637276,1.1533335340808717,0.9161518888797584
