z,x,beta,w_AA,w_BB,w_AB,U_hat,m_AB_hat
2,0.0983606557377049,13435.14871517146,0.5589813909983352,-0.6870339434661152,0.5831763244491974,0.5108734270095928,0.1150349539538897
2,0.074074074074074,16.41944210797637,-0.4262944328219742,-0.7198872297313728,-0.2200341393184903,-0.4214155022329545,0.0754171944092616
6,0.2803069719042664,45890.28941727877,0.8097905740408218,-0.3509709375674634,0.1402020480455277,1.3448846055775807,1.2148995883076412
2,0.4,50351.26569873984,0.1369694368512894,0.5890704132841109,0.741592485048661,0.4392808740638969,0.3208659567021651
2,0.4468085106382978,0.7173818937777592,0.9034652842922706,0.8102942167238121,0.4739047882735421,0.6538025751822449,0.5432028296612297
4,0.3519526627218935,12.330119810585284,-0.4405620145646707,-0.1063724422236274,0.5576837992709682,-0.181741147338389,0.5584364894743546
2,0.2941176470588235,518325.5285451848,-0.2681279015372084,0.1086854508794663,0.6164057671584655,0.0073937276059744,0.2365863905974586
4,0.0736607142857142,3412.239669412047,0.749777742317532,0.0302270439619909,0.9603675319891554,1.5063432172442153,0.1977557212700574
6,0.049078125,41.68515918946108,-0.8954039399480378,-0.2035779448647576,-0.1752326575771714,-2.482001290606554,0.2734741364227169
6,0.486976,10.6402506773166,-0.7484425646718835,0.8551059780572892,0.8535126444633268,0.938312154957858,1.0509759028805212
4,0.2292387543252595,236571.64816909644,0.9555935703731,0.5168603034065886,-0.1356886592820378,1.0031735741670902,0.8107025891974701
4,0.0712890625,90400.93975201172,0.6763822137190383,-0.0791531717205085,-0.8048722114197953,0.9444632299817192,0.2723896626924617
6,0.294704,45504.05684055424,-0.2270716961887062,-0.0155896690108776,0.1894974307970731,-0.1620350649737933,1.06877792343037
4,0.0290099510878731,185911.41535413364,0.8624500534000297,0.8010619283512597,0.4505865189203879,1.6780236192882954,0.1136364732450723
4,0.4478050829657635,187.13857025127447,-0.7497822759876496,0.5736821658797464,-0.6422661956490814,-1.0597702593979867,1.3451681775407556
4,0.1558333333333333,980360.6393459634,0.0985443923274482,0.1018092664746057,-0.3545649803646324,-0.0608722681291007,0.5695069150557907
2,0.2234042553191489,6.121903048784105,-0.0603684688992123,0.7334322582993975,-0.8481476644267529,-0.3744502228395659,0.4148127740417447
4,0.0133333333333333,36786.80565559845,0.2353100080511765,-0.8422017954770047,0.951847545316186,0.4978266770190664,0.0445635317380969
4,0.0752373995617238,2.726580864687434,0.2500991080619905,0.7130702091454253,-0.1013273926012789,0.4020006542023999,0.2879731942581532
2,0.1617647058823529,11014774.092655811,-0.4217744394523794,0.3296028433213935,0.4241396359017402,-0.2234569088781764,0.1632646808827694
4,0.2162629757785467,2.815366795026935,-0.8456286698341089,0.9572336499561414,-0.2125267211911801,-1.1030458647955863,0.7139486030129613
