d,L,x,T,w_AA,w_BB,w_AB,U,z,N,beta,x_actual,U_hat,m_AB_hat,m_AB_hat_fixed
3,100,0.0,1000000.0,1.0,-1.0,1.0,3000000.0,6,1000000,0.0116049669258442,0.0,3.0,2999997.0,2999997.0
3,100,0.0,1000000.0,1.0,1.0,-1.0,3000000.0,6,1000000,0.0116049669258442,0.0,3.0,-1499998.5,-1499998.5
3,100,0.0,1000000.0,1.0,1.0,1.0,3000000.0,6,1000000,0.0116049669258442,0.0,3.0,inf,0.0
3,100,0.5,0.001,-1.0,-1.0,-1.0,-3000000.0,6,1000000,11604966.92584426,0.5,-3.0,-inf,0.25
3,100,0.5,0.001,-1.0,-1.0,1.0,-109748.2263388683,6,1000000,11604966.92584426,0.5,-0.1097482263388683,-54872.61316943415,-54872.61316943415
3,100,0.5,0.001,-1.0,1.0,-1.0,-1502038.5056988602,6,1000000,11604966.92584426,0.5,-1.50203850569886,1502038.5056988602,1502038.5056988602
3,100,0.5,0.001,-1.0,1.0,1.0,1497927.851429714,6,1000000,11604966.92584426,0.5,1.497927851429714,1497927.851429714,1497927.851429714
3,100,0.5,0.001,1.0,-1.0,-1.0,-1500502.0923815237,6,1000000,11604966.92584426,0.5,-1.5005020923815238,1500502.0923815237,1500502.0923815237
3,100,0.5,0.001,1.0,-1.0,1.0,1498347.8148370327,6,1000000,11604966.92584426,0.5,1.4983478148370326,1498347.8148370327,1498347.8148370327
3,100,0.5,0.001,1.0,1.0,-1.0,-103883.58508207458,6,1000000,11604966.92584426,0.5,-0.1038835850820745,51943.29254103729,51943.29254103729
3,100,0.5,0.001,1.0,1.0,1.0,3000000.0,6,1000000,11604966.92584426,0.5,3.0,inf,0.25
3,100,0.5,1000000.0,-1.0,-1.0,-1.0,-3000000.0,6,1000000,0.0116049669258442,0.5,-3.0,-inf,0.25
3,100,0.5,1000000.0,-1.0,-1.0,1.0,-5024.461997690011,6,1000000,0.0116049669258442,0.5,-0.00502446199769,-2510.7309988450056,-2510.7309988450056
3,100,0.5,1000000.0,-1.0,1.0,-1.0,-1499291.1613677265,6,1000000,0.0116049669258442,0.5,-1.4992911613677264,1499291.1613677265,1499291.1613677265
3,100,0.5,1000000.0,-1.0,1.0,1.0,1499334.8210357928,6,1000000,0.0116049669258442,0.5,1.4993348210357929,1499334.8210357928,1499334.8210357928
3,100,0.5,1000000.0,1.0,-1.0,-1.0,-1500260.696860628,6,1000000,0.0116049669258442,0.5,-1.500260696860628,1500260.696860628,1500260.696860628
3,100,0.5,1000000.0,1.0,-1.0,1.0,1500099.913817237,6,1000000,0.0116049669258442,0.5,1.5000999138172368,1500099.913817237,1500099.913817237
3,100,0.5,1000000.0,1.0,1.0,-1.0,-2318.2543387283063,6,1000000,0.0116049669258442,0.5,-0.0023182543387283,1160.6271693641531,1160.6271693641531
3,100,0.5,1000000.0,1.0,1.0,1.0,3000000.0,6,1000000,0.0116049669258442,0.5,3.0,inf,0.25
3,51,0.2993228189063946,39948.74581946605,-0.5824727807953565,0.7871198445051855,-0.4868084329457252,-167127.23144244117,6,132651,0.2904964020219489,0.2993192663455232,-1.259901783193803,283682.9841969843,283682.9841969843
1,57,0.2140298086087627,885130.7216345653,0.5012302224113783,-0.5834434920280105,-0.4021616606812253,8.82040456618947,2,57,0.0131110203749491,0.2105263157894736,0.15474393975771,-23.673750791995392,-23.673750791995392
3,65,0.4255876967321222,0.2450521329238113,0.2531042331822573,0.2173008539500294,0.9426708655472412,479590.287957596,6,274625,47357.1349385167,0.4255876194811106,1.7463460644791844,677895.4752551237,677895.4752551237
2,45,0.2184185960011203,90.61482752550664,-0.1432485017980214,-0.7781461465353814,-0.3443388651322219,-1034.4923417273162,4,2025,128.06918296652552,0.2182716049382716,-0.5108604156678105,-8885.719981574939,-8885.719981574939
3,96,0.492837569001939,0.0450033018710121,-0.4819960181993199,-0.8530493684761109,0.365282412341926,-395356.2535371251,6,884736,257869.23277554777,0.4928374113859953,-0.4468635316491305,-382796.5767868548,-382796.5767868548
3,91,0.3133097077733724,0.0038132507691688,-0.4361585605306242,0.1165424000266106,0.6818741943184841,223848.90854827245,6,753571,3043326.449881993,0.3133095620717888,0.2970508532683349,265955.104779528,265955.104779528
2,20,0.0357849860715853,0.0120718805498184,-0.1065476320571032,-0.26874782220625,-0.2361557729057257,-92.39911634264976,4,400,961322.213051457,0.035,-0.2309977908566244,1900.1933719320607,1900.1933719320607
3,74,0.2744674958627434,0.3988975721306785,-0.881041986545051,0.7442673419004562,0.191213187679051,-403361.05694020377,6,405224,29092.59854317309,0.2744679485913963,-0.995402683306526,-1553771.0311050648,-1553771.0311050648
